s_ra,s_dec,target_name,band_list,t_exptime,gaia_source_id,sep_arcsec,gaia_match_quality,has_gaia
209.66953891302103,-44.80373139506067,HIP68282,7,2902.839,6.107651444350934e+18,,good,True
211.51134036792595,-41.17977347366168,HIP68862,7,2721.443,6.110115278109272e+18,,good,True
211.91970004761512,-48.70421070036508,HIP69011,7,2902.777,6.091088744790299e+18,0.31723053421298225,good,True
213.73779657818343,-57.08625579704476,HIP69618,7,7768.692,5.892241070506893e+18,0.21468896627651426,good,True
215.7591313162819,-39.511959690293295,HIP70300,7,2922.992,6.116497702589634e+18,,good,True
216.7076348276641,-39.87412049090196,HIP70626,7,2923.0,6.104499385029861e+18,,good,True
218.87647113446528,-42.15803491867156,HIP71352,7,3023.676,,,good,False
218.88098014594024,-41.51757919453305,HIP71353,7,2922.969,6.103196395033219e+18,,good,True
219.4714980423447,-49.42600853355651,HIP71536,7,2903.039,5.899408305748519e+18,,good,True
220.48211914614603,-47.388347557644735,HIP71860,7,2842.559,5.905821894507108e+18,,good,True
220.48972189594775,-37.79369499526555,HIP71865,7,2872.538,6.105713692544124e+18,,good,True
225.74682808515996,-32.64343397001894,HIP73624,7,4111.467,6.204661767584359e+18,,good,True
227.1631428228322,-42.868059240735874,HIP74100,7,3023.859,6.003713579391234e+18,0.2060026487002545,good,True
228.2064163927412,-44.50055110462338,HIP74449,7,3023.863,6.003314456673154e+18,0.21653479448568855,good,True
230.3428986843331,-40.64764102111273,HIP75141,7,2923.067,6.005678131793147e+18,,good,True
230.7888143519164,-36.85861876977909,HIP75304,7,2872.682,6.00767168380654e+18,,good,True
231.8253873192259,-36.76770917139252,HIP75647,7,2872.668,6.01345439341248e+18,,good,True
232.95915821171948,-32.88125802840177,HIP76048,7,4111.635,6.206717510730404e+18,0.20002017252565107,good,True
234.66387821139125,-29.77790695757104,HIP76600,7,4111.375,6.209215257553893e+18,,good,True
237.52921985662917,-53.21001763553846,HIP77562,7,3810.185,5.885063321137593e+18,,good,True
239.22103643855817,-29.214233549157314,HIP78104,7,4383.059,6.041076668127514e+18,,good,True
239.4185313976028,-20.98321839950727,HIP78168,7,3729.414,6.246704687050868e+18,,good,True
240.03039423734637,-38.396884233829205,HIP78384,7,2781.968,5.998019895874781e+18,,good,True
240.85064511307624,-38.60272595822904,HIP78655,7,2781.96,5.997906921059779e+18,,good,True
241.64795494056267,-36.802474093531295,HIP78918,7,2661.004,5.998676819707873e+18,,good,True
241.70171764751393,-20.66934396742801,HIP78933,7,3729.405,6.244010505608714e+18,,good,True
241.81214573761065,-17.936176348537657,HIP78968,7,3729.415,6.249186662749341e+18,,good,True
242.01811136516332,-36.232008109738416,HIP79044,7,2661.016,5.998762478537678e+18,,good,True
243.0757793478339,-27.92652868163885,HIP79404,7,4383.321,6.042226413691524e+18,,good,True
246.7559431770866,-18.456385123218077,HIP80569,7,3729.44,4.3237647124229366e+18,,good,True
247.8454613594907,-34.70448175972624,HIP80911,7,4836.557,6.023633156682207e+18,,good,True
248.97056600487855,-28.21616473014445,HIP81266,7,4383.432,6.044420729667869e+18,,good,True
249.60945491030012,-43.39855584782429,HIP81472,7,5047.875,5.944376407189912e+18,,good,True
251.17736844716796,-40.83981406567433,HIP81972,7,4816.066,5.96835136134206e+18,,good,True
252.96753337882944,-38.04751698679284,HIP82514,7,4746.256,5.971289565647972e+18,,good,True
253.08384996098852,-38.017684565199175,HIP82545,7,4745.405,5.971244451311983e+18,,good,True
53.53058310956668,24.34419991730932,HIP_16639,6,254.004,6.809702001232435e+16,0.17042841505742248,good,True
53.88219807101051,22.82333985540351,HIP_16753,6,254.003,6.761828577761766e+16,0.19837255796087433,good,True
54.59420643913845,22.499451081958863,HIP_16979,6,254.005,6.467190385261862e+16,0.12902847816016977,good,True
54.73706915689979,24.569557151581364,HIP_17020,6,254.005,6.844487800388224e+16,0.23992041218653304,good,True
54.80628630420291,24.466287076791183,HIP_17044,6,254.001,6.825424587851238e+16,0.22022257174870355,good,True
55.012974749859794,27.740252122563422,HIP_17125,6,254.001,7.137126256100723e+16,0.2478236256798879,good,True
55.40077356505841,25.61905295405064,HIP_17245,6,254.002,7.010847345681728e+16,0.28650871790238197,good,True
55.60012868737936,21.473233512504603,HIP_17316,6,254.003,6.431799854764134e+16,0.22950837570730634,good,True
55.60021258799999,22.42090050264444,HIP_17317,6,254.003,6.444972948799091e+16,0.15621850464588127,good,True
58.00344321807036,19.596608772973863,HIP_18091,6,254.004,5.090505620117952e+16,0.24932481789345948,good,True
59.507180596944394,20.6765249521976,HIP_18544,6,254.002,5.14527504311296e+16,0.21872086733236348,good,True
60.93417230803583,22.944021286575456,HIP_18955,6,254.004,5.378385252207386e+16,0.2693665433712849,good,True
84.04301262847838,-28.708025005420872,HIP_26309,6,2207.52,2.9073977478970706e+18,,good,True
84.41522177956512,-28.62631148593612,HIP_26453,6,2207.52,2.9073081720591007e+18,,good,True
85.84037299658495,-18.55752829751107,HIP_26966,6,2147.04,2.967287596507433e+18,,good,True
113.94750061278376,-32.203609404971786,HIP_36948,6,3775.066,5.592237639209047e+18,,good,True
1.469440138553176,-41.753362249066235,HIP_490,6,2237.76,4.99585301464619e+18,,good,True
173.94446971533924,-63.01991774578703,HIP_56561,6,362.88,5.333974693006467e+18,,good,True
176.43596710431382,-52.690657594633834,HIP_57375,6,332.64,5.368668373660159e+18,,good,True
178.93073907038186,-54.18079695612479,HIP_58167,6,332.64,5.344333501282921e+18,,good,True
179.84807874438872,-57.168095234635125,HIP_58465,6,332.64,5.343524947923387e+18,49.739163094296195,bad,True
180.46043263646996,-73.29860531187184,HIP_58674,6,423.36,5.842370177975638e+18,,good,True
181.06898910086696,-51.47262831684334,HIP_58859,6,332.64,6.126340152734133e+18,,good,True
182.67455272886016,-56.44244849649517,HIP_59360,6,332.64,6.072502531530962e+18,,good,True
182.8111250933849,-52.21766454522441,HIP_59413,6,332.64,6.125358151409872e+18,,good,True
183.04176288058423,-63.45422782390693,HIP_59502,6,362.88,,,good,False
184.7732379359976,-33.745479957612915,HIP_60072,6,302.4,3.468184721426904e+18,,good,True
184.8187193327976,-47.83014401920909,HIP_60084,6,332.64,6.130406279862057e+18,0.7387287092475863,good,True
185.11641712878853,-65.84278939906088,HIP_60183,6,381.024,,,good,False
185.9248442898071,-63.87019808035157,HIP_60459,6,362.88,6.053693083047385e+18,31.162384939354148,bad,True
186.2147815335562,-72.6040150871689,HIP_60561,6,423.36,,,good,False
187.0792666268442,-64.34111685014332,HIP_60851,6,362.88,6.053440057962586e+18,,good,True
187.5721727384804,-72.98536206714121,HIP_61017,6,423.36,,,good,False
188.3001927352223,-52.08298542960071,HIP_61257,6,332.64,6.078777306935808e+18,,good,True
189.52947126494357,-55.9313796951096,HIP_61639_A,6,362.822,6.07343062241684e+18,,good,True
190.6125166107024,-61.01864759340267,HIP_62002,6,362.88,6.056324729772558e+18,,good,True
191.00745821262095,-53.50584588714327,HIP_62134,6,332.64,6.075075594872297e+18,,good,True
191.0797389752826,-61.52558719181241,HIP_62154_B,6,362.88,6.055497587763328e+18,,good,True
191.14502305968455,-57.2871004721771,HIP_62179,6,362.826,6.060946629972803e+18,,good,True
191.79784937185696,-61.22362407195845,HIP_62391,6,362.88,6.055601938300689e+18,,good,True
191.91260035818695,-58.29773788147397,HIP_62428,6,362.826,6.060057503020289e+18,,good,True
192.0690873064273,-67.1312872411133,HIP_62482,6,635.04,5.858152189941308e+18,,good,True
